,Diseases,Number of times a disease occurred in polygenic risk score's related articles
12844,aparc-Desikan lh thickness superiortemporal,0
12845,aparc-Desikan lh thickness supramarginal,0
12846,aparc-Desikan lh thickness frontalpole,0
12847,aparc-Desikan lh thickness transversetemporal,0
12848,aparc-Desikan lh thickness insula,0
12849,aparc-Desikan rh thickness GlobalMeanThickness,0
12850,aparc-Desikan rh thickness bankssts,0
12851,aparc-Desikan rh thickness caudalanteriorcingulate,0
12852,aparc-Desikan rh thickness caudalmiddlefrontal,0
12853,aparc-Desikan rh thickness cuneus,0
12854,aparc-Desikan rh thickness entorhinal,0
12855,aparc-Desikan rh thickness fusiform,0
12856,aparc-Desikan rh thickness inferiorparietal,0
12857,aparc-Desikan rh thickness inferiortemporal,0
12858,aparc-Desikan rh thickness isthmuscingulate,0
12859,aparc-Desikan rh thickness lateraloccipital,0
12860,aparc-Desikan rh thickness lateralorbitofrontal,0
12861,rfMRI connectivity (ICA25 edge 47),0
12862,rfMRI connectivity (ICA25 edge 48),0
12863,rfMRI connectivity (ICA25 edge 49),0
12864,rfMRI connectivity (ICA25 edge 50),0
12865,rfMRI connectivity (ICA25 edge 51),0
12866,rfMRI connectivity (ICA25 edge 52),0
12867,rfMRI connectivity (ICA25 edge 53),0
12868,rfMRI connectivity (ICA25 edge 54),0
12869,rfMRI connectivity (ICA25 edge 55),0
12870,rfMRI connectivity (ICA25 edge 56),0
12871,rfMRI connectivity (ICA25 edge 57),0
12872,rfMRI connectivity (ICA25 edge 58),0
12873,rfMRI connectivity (ICA25 edge 59),0
12874,rfMRI connectivity (ICA25 edge 60),0
12875,rfMRI connectivity (ICA25 edge 61),0
12876,rfMRI connectivity (ICA25 edge 62),0
12877,rfMRI connectivity (ICA25 edge 63),0
12878,rfMRI connectivity (ICA25 edge 64),0
12879,rfMRI connectivity (ICA25 edge 65),0
12880,aparc-DKTatlas lh thickness caudalmiddlefrontal,0
12881,aparc-DKTatlas lh thickness cuneus,0
12882,aparc-DKTatlas lh thickness entorhinal,0
12883,aparc-DKTatlas lh thickness fusiform,0
12884,aparc-DKTatlas lh thickness inferiorparietal,0
12885,aparc-DKTatlas lh thickness inferiortemporal,0
12886,rfMRI amplitudes (ICA100 node 52),0
12887,rfMRI amplitudes (ICA100 node 53),0
12888,rfMRI amplitudes (ICA100 node 54),0
12889,rfMRI amplitudes (ICA100 node 55),0
12890,rfMRI connectivity (ICA25 edge 1),0
12891,rfMRI connectivity (ICA25 edge 2),0
12892,rfMRI connectivity (ICA25 edge 3),0
12893,rfMRI connectivity (ICA25 edge 4),0
12894,rfMRI connectivity (ICA25 edge 5),0
12895,rfMRI connectivity (ICA25 edge 6),0
12896,rfMRI connectivity (ICA25 edge 7),0
12897,rfMRI connectivity (ICA25 edge 8),0
12898,rfMRI connectivity (ICA25 edge 9),0
12899,rfMRI connectivity (ICA25 edge 10),0
12900,rfMRI connectivity (ICA25 edge 11),0
12901,rfMRI connectivity (ICA25 edge 12),0
12902,rfMRI connectivity (ICA25 edge 13),0
12903,rfMRI connectivity (ICA25 edge 14),0
12904,rfMRI connectivity (ICA25 edge 15),0
12905,rfMRI connectivity (ICA25 edge 16),0
12906,rfMRI connectivity (ICA25 edge 17),0
12907,rfMRI connectivity (ICA25 edge 18),0
12908,rfMRI connectivity (ICA25 edge 19),0
12909,rfMRI connectivity (ICA25 edge 20),0
12910,rfMRI connectivity (ICA25 edge 21),0
12911,aparc-DKTatlas lh thickness isthmuscingulate,0
12912,aparc-DKTatlas lh thickness lateraloccipital,0
12913,aparc-DKTatlas lh thickness lateralorbitofrontal,0
12914,aparc-DKTatlas lh thickness lingual,0
12915,aparc-DKTatlas lh thickness medialorbitofrontal,0
12916,aparc-DKTatlas lh thickness middletemporal,0
12917,aparc-DKTatlas lh thickness parahippocampal,0
12918,aparc-DKTatlas lh thickness paracentral,0
12919,aparc-DKTatlas lh thickness parsopercularis,0
12920,aparc-DKTatlas lh thickness parsorbitalis,0
12921,aparc-DKTatlas lh thickness parstriangularis,0
12922,aparc-DKTatlas lh thickness pericalcarine,0
12923,aparc-DKTatlas lh thickness postcentral,0
12924,aparc-DKTatlas lh thickness posteriorcingulate,0
12925,aparc-DKTatlas lh thickness precentral,0
12926,aparc-DKTatlas lh thickness precuneus,0
12927,aparc-DKTatlas lh thickness rostralanteriorcingulate,0
12928,aparc-DKTatlas lh thickness rostralmiddlefrontal,0
12929,aparc-DKTatlas lh thickness superiorfrontal,0
12930,aparc-DKTatlas lh thickness superiorparietal,0
12931,aparc-DKTatlas lh thickness superiortemporal,0
12932,aparc-DKTatlas lh thickness supramarginal,0
12933,aparc-DKTatlas lh thickness transversetemporal,0
12934,aparc-DKTatlas lh thickness insula,0
12935,aparc-DKTatlas rh thickness caudalanteriorcingulate,0
12936,aparc-Desikan rh thickness lingual,0
12937,aparc-Desikan rh thickness medialorbitofrontal,0
12938,aparc-Desikan rh thickness middletemporal,0
12939,aparc-Desikan rh thickness parahippocampal,0
12940,aparc-Desikan rh thickness paracentral,0
12941,aparc-Desikan rh thickness parsopercularis,0
12942,aparc-Desikan rh thickness parsorbitalis,0
12943,aparc-Desikan rh thickness parstriangularis,0
12944,aparc-Desikan rh thickness pericalcarine,0
12945,aparc-Desikan rh thickness postcentral,0
12946,aparc-Desikan rh thickness posteriorcingulate,0
12947,aparc-Desikan rh thickness precentral,0
12948,aparc-Desikan rh thickness precuneus,0
12949,aparc-Desikan rh thickness rostralanteriorcingulate,0
12950,aparc-Desikan rh thickness rostralmiddlefrontal,0
12951,aparc-Desikan rh thickness superiorfrontal,0
12952,aparc-Desikan rh thickness superiorparietal,0
12953,aparc-Desikan rh thickness superiortemporal,0
12954,aparc-Desikan rh thickness supramarginal,0
12955,aparc-Desikan rh thickness frontalpole,0
12956,aparc-Desikan rh thickness transversetemporal,0
12957,aparc-Desikan rh thickness insula,0
12958,BA-exvivo lh thickness BA1,0
12959,BA-exvivo lh thickness BA2,0
12960,BA-exvivo lh thickness BA3a,0
12961,aparc-DKTatlas rh thickness caudalmiddlefrontal,0
12962,aparc-DKTatlas rh thickness cuneus,0
12963,aparc-DKTatlas rh thickness entorhinal,0
12964,aparc-DKTatlas rh thickness fusiform,0
12965,aparc-DKTatlas rh thickness inferiorparietal,0
12966,aparc-DKTatlas rh thickness inferiortemporal,0
12967,aparc-DKTatlas rh thickness isthmuscingulate,0
12968,aparc-DKTatlas rh thickness lateraloccipital,0
12969,aparc-DKTatlas rh thickness lateralorbitofrontal,0
12970,aparc-DKTatlas rh thickness lingual,0
12971,aparc-DKTatlas rh thickness medialorbitofrontal,0
12972,aparc-DKTatlas rh thickness middletemporal,0
12973,aparc-DKTatlas rh thickness parahippocampal,0
12974,aparc-DKTatlas rh thickness paracentral,0
12975,aparc-DKTatlas rh thickness parsopercularis,0
12976,aparc-DKTatlas rh thickness parsorbitalis,0
12977,aparc-DKTatlas rh thickness parstriangularis,0
12978,aparc-DKTatlas rh thickness pericalcarine,0
12979,aparc-DKTatlas rh thickness postcentral,0
12980,aparc-DKTatlas rh thickness posteriorcingulate,0
12981,aparc-DKTatlas rh thickness precentral,0
12982,aparc-DKTatlas rh thickness precuneus,0
12983,aparc-DKTatlas rh thickness rostralanteriorcingulate,0
12984,aparc-DKTatlas rh thickness rostralmiddlefrontal,0
12985,aparc-DKTatlas rh thickness superiorfrontal,0
12986,BA-exvivo lh thickness BA3b,0
12987,BA-exvivo lh thickness BA4a,0
12988,BA-exvivo lh thickness BA4p,0
12989,BA-exvivo lh thickness BA6,0
12990,BA-exvivo lh thickness BA44,0
12991,BA-exvivo lh thickness BA45,0
12992,BA-exvivo lh thickness V1,0
12993,BA-exvivo lh thickness V2,0
12994,BA-exvivo lh thickness MT,0
12995,BA-exvivo lh thickness perirhinal,0
12996,BA-exvivo lh thickness entorhinal,0
12997,BA-exvivo rh thickness BA1,0
12998,BA-exvivo rh thickness BA2,0
12999,BA-exvivo rh thickness BA3a,0
13000,BA-exvivo rh thickness BA3b,0
13001,BA-exvivo rh thickness BA4a,0
13002,BA-exvivo rh thickness BA4p,0
13003,BA-exvivo rh thickness BA6,0
13004,BA-exvivo rh thickness BA44,0
13005,BA-exvivo rh thickness BA45,0
13006,BA-exvivo rh thickness V1,0
13007,BA-exvivo rh thickness V2,0
13008,BA-exvivo rh thickness MT,0
13009,BA-exvivo rh thickness perirhinal,0
13010,BA-exvivo rh thickness entorhinal,0
13011,rfMRI connectivity (ICA25 edge 22),0
13012,rfMRI connectivity (ICA25 edge 23),0
13013,rfMRI connectivity (ICA25 edge 24),0
13014,rfMRI connectivity (ICA25 edge 25),0
13015,rfMRI connectivity (ICA25 edge 26),0
13016,rfMRI connectivity (ICA25 edge 27),0
13017,rfMRI connectivity (ICA25 edge 28),0
13018,rfMRI connectivity (ICA25 edge 29),0
13019,rfMRI connectivity (ICA25 edge 30),0
13020,rfMRI connectivity (ICA25 edge 31),0
13021,rfMRI connectivity (ICA25 edge 32),0
13022,rfMRI connectivity (ICA25 edge 33),0
13023,rfMRI connectivity (ICA25 edge 34),0
13024,rfMRI connectivity (ICA25 edge 35),0
13025,rfMRI connectivity (ICA25 edge 36),0
13026,rfMRI connectivity (ICA25 edge 37),0
13027,rfMRI connectivity (ICA25 edge 38),0
13028,rfMRI connectivity (ICA25 edge 39),0
13029,rfMRI connectivity (ICA25 edge 40),0
13030,rfMRI connectivity (ICA25 edge 41),0
13031,rfMRI connectivity (ICA25 edge 42),0
13032,rfMRI connectivity (ICA25 edge 43),0
13033,rfMRI connectivity (ICA25 edge 44),0
13034,rfMRI connectivity (ICA25 edge 45),0
13035,rfMRI connectivity (ICA25 edge 46),0
13036,wg rh intensity-contrast bankssts,0
13037,wg rh intensity-contrast caudalanteriorcingulate,0
13038,wg rh intensity-contrast caudalmiddlefrontal,0
13039,wg rh intensity-contrast cuneus,0
13040,wg rh intensity-contrast entorhinal,0
13041,wg rh intensity-contrast fusiform,0
13042,wg rh intensity-contrast inferiorparietal,0
13043,wg rh intensity-contrast inferiortemporal,0
13044,wg rh intensity-contrast isthmuscingulate,0
13045,wg rh intensity-contrast lateraloccipital,0
13046,wg rh intensity-contrast lateralorbitofrontal,0
13047,wg rh intensity-contrast lingual,0
13048,wg rh intensity-contrast medialorbitofrontal,0
13049,wg rh intensity-contrast middletemporal,0
13050,wg rh intensity-contrast parahippocampal,0
13051,wg rh intensity-contrast paracentral,0
13052,wg rh intensity-contrast parsopercularis,0
13053,wg rh intensity-contrast parsorbitalis,0
13054,wg rh intensity-contrast parstriangularis,0
13055,wg rh intensity-contrast pericalcarine,0
13056,wg rh intensity-contrast postcentral,0
13057,rfMRI connectivity (ICA100 edge 126),0
13058,rfMRI connectivity (ICA100 edge 127),0
13059,rfMRI connectivity (ICA100 edge 128),0
13060,rfMRI connectivity (ICA100 edge 129),0
13061,IDP T1 FAST ROIs V cerebellum VIIb,0
13062,IDP T1 FAST ROIs R cerebellum VIIb,0
13063,IDP T1 FAST ROIs L cerebellum VIIIa,0
13064,IDP T1 FAST ROIs V cerebellum VIIIa,0
13065,IDP T1 FAST ROIs R cerebellum VIIIa,0
13066,IDP T1 FAST ROIs L cerebellum VIIIb,0
13067,IDP T1 FAST ROIs V cerebellum VIIIb,0
13068,IDP T1 FAST ROIs R cerebellum VIIIb,0
13069,IDP T1 FAST ROIs L cerebellum IX,0
13070,IDP T1 FAST ROIs V cerebellum IX,0
13071,IDP T1 FAST ROIs R cerebellum IX,0
13072,IDP T1 FAST ROIs L cerebellum X,0
13073,IDP T1 FAST ROIs V cerebellum X,0
13074,IDP T1 FAST ROIs R cerebellum X,0
13075,aseg global volume BrainSeg,0
13076,aseg global volume BrainSegNotVent,0
13077,aseg global volume BrainSegNotVentSurf,0
13078,aseg global volume SubCortGray,0
13079,aseg global volume TotalGray,0
13080,aseg global volume SupraTentorial,0
13081,aseg global volume SupraTentorialNotVent,0
13082,aseg global volume EstimatedTotalIntraCranial,0
13083,aseg global volume VentricleChoroid,0
13084,aseg global volume 3rd-Ventricle,0
13085,aseg global volume 4th-Ventricle,0
13086,IDP T1 FAST ROIs L putamen,0
13087,IDP T1 FAST ROIs R putamen,0
13088,IDP T1 FAST ROIs L pallidum,0
13089,IDP T1 FAST ROIs R pallidum,0
13090,IDP T1 FAST ROIs L hippocampus,0
13091,IDP T1 FAST ROIs R hippocampus,0
13092,IDP T1 FAST ROIs L amygdala,0
13093,IDP T1 FAST ROIs R amygdala,0
13094,IDP T1 FAST ROIs L ventral striatum,0
13095,IDP T1 FAST ROIs R ventral striatum,0
13096,IDP T1 FAST ROIs brain stem,0
13097,IDP T1 FAST ROIs L cerebellum I-IV,0
13098,IDP T1 FAST ROIs R cerebellum I-IV,0
13099,IDP T1 FAST ROIs L cerebellum V,0
13100,IDP T1 FAST ROIs R cerebellum V,0
13101,IDP T1 FAST ROIs L cerebellum VI,0
13102,IDP T1 FAST ROIs V cerebellum VI,0
13103,IDP T1 FAST ROIs R cerebellum VI,0
13104,IDP T1 FAST ROIs L cerebellum crus I,0
13105,IDP T1 FAST ROIs V cerebellum crus I,0
13106,IDP T1 FAST ROIs R cerebellum crus I,0
13107,IDP T1 FAST ROIs L cerebellum crus II,0
13108,IDP T1 FAST ROIs V cerebellum crus II,0
13109,IDP T1 FAST ROIs R cerebellum crus II,0
13110,IDP T1 FAST ROIs L cerebellum VIIb,0
13111,aseg global volume 5th-Ventricle,0
13112,aseg global volume Brain-Stem,0
13113,aseg global volume CSF,0
13114,aseg global volume WM-hypointensities,0
13115,aseg global volume non-WM-hypointensities,0
13116,aseg global volume Optic-Chiasm,0
13117,aseg global volume CC-Posterior,0
13118,aseg global volume CC-Mid-Posterior,0
13119,aseg global volume CC-Central,0
13120,aseg global volume CC-Mid-Anterior,0
13121,aseg global volume CC-Anterior,0
13122,aseg global volume-ratio BrainSegVol-to-eTIV,0
13123,aseg global volume-ratio MaskVol-to-eTIV,0
13124,aseg lh volume Cortex,0
13125,aseg lh volume CerebralWhiteMatter,0
13126,aseg lh volume Lateral-Ventricle,0
13127,aseg lh volume Inf-Lat-Vent,0
13128,aseg lh volume Cerebellum-White-Matter,0
13129,aseg lh volume Cerebellum-Cortex,0
13130,aseg lh volume Thalamus-Proper,0
13131,aseg lh volume Caudate,0
13132,aseg lh volume Putamen,0
13133,aseg lh volume Pallidum,0
13134,aseg lh volume Hippocampus,0
13135,aseg lh volume Amygdala,0
13136,rfMRI connectivity (ICA100 edge 205),0
13137,rfMRI connectivity (ICA100 edge 206),0
13138,IDP T1 FAST ROIs R postcent gyrus,0
13139,IDP T1 FAST ROIs L sup parietal lobule,0
13140,IDP T1 FAST ROIs R sup parietal lobule,0
13141,IDP T1 FAST ROIs L supramarg gyrus ant,0
13142,IDP T1 FAST ROIs R supramarg gyrus ant,0
13143,IDP T1 FAST ROIs L supramarg gyrus post,0
13144,IDP T1 FAST ROIs R supramarg gyrus post,0
13145,IDP T1 FAST ROIs L angular gyrus,0
13146,IDP T1 FAST ROIs R angular gyrus,0
13147,IDP T1 FAST ROIs L latocc cortex sup,0
13148,IDP T1 FAST ROIs R latocc cortex sup,0
13149,IDP T1 FAST ROIs L latocc cortex inf,0
13150,IDP T1 FAST ROIs R latocc cortex inf,0
13151,IDP T1 FAST ROIs L intracalc cortex,0
13152,IDP T1 FAST ROIs R intracalc cortex,0
13153,IDP T1 FAST ROIs L front med cortex,0
13154,IDP T1 FAST ROIs R front med cortex,0
13155,IDP T1 FAST ROIs L juxtapos lobule cortex,0
13156,IDP T1 FAST ROIs R juxtapos lobule cortex,0
13157,IDP T1 FAST ROIs L subcallosal cortex,0
13158,IDP T1 FAST ROIs R subcallosal cortex,0
13159,IDP T1 FAST ROIs L paracing gyrus,0
13160,IDP T1 FAST ROIs R paracing gyrus,0
13161,rfMRI connectivity (ICA100 edge 222),0
13162,rfMRI connectivity (ICA100 edge 223),0
13163,rfMRI connectivity (ICA100 edge 224),0
13164,rfMRI connectivity (ICA100 edge 225),0
13165,rfMRI connectivity (ICA100 edge 226),0
13166,rfMRI connectivity (ICA100 edge 227),0
13167,rfMRI connectivity (ICA100 edge 228),0
13168,rfMRI connectivity (ICA100 edge 229),0
13169,rfMRI connectivity (ICA100 edge 230),0
13170,rfMRI connectivity (ICA100 edge 231),0
13171,rfMRI connectivity (ICA100 edge 232),0
13172,rfMRI connectivity (ICA100 edge 233),0
13173,rfMRI connectivity (ICA100 edge 234),0
13174,rfMRI connectivity (ICA100 edge 235),0
13175,rfMRI connectivity (ICA100 edge 236),0
13176,rfMRI connectivity (ICA100 edge 237),0
13177,IDP T1 FAST ROIs R planum temporale,0
13178,IDP T1 FAST ROIs L supracalc cortex,0
13179,IDP T1 FAST ROIs R supracalc cortex,0
13180,IDP T1 FAST ROIs L occ pole,0
13181,IDP T1 FAST ROIs R occ pole,0
13182,IDP T1 FAST ROIs L thalamus,0
13183,IDP T1 FAST ROIs R thalamus,0
13184,IDP T1 FAST ROIs L caudate,0
13185,IDP T1 FAST ROIs R caudate,0
13186,IDP T1 FAST ROIs R front operc cortex,0
13187,IDP T1 FAST ROIs L cent operc cortex,0
13188,IDP T1 FAST ROIs R cent operc cortex,0
13189,IDP T1 FAST ROIs L parietal operc cortex,0
13190,IDP T1 FAST ROIs R parietal operc cortex,0
13191,IDP T1 FAST ROIs L planum polare,0
13192,IDP T1 FAST ROIs R planum polare,0
13193,IDP T1 FAST ROIs L heschl gyrus,0
13194,IDP T1 FAST ROIs R heschl gyrus,0
13195,IDP T1 FAST ROIs L planum temporale,0
13196,rfMRI connectivity (ICA100 edge 207),0
13197,rfMRI connectivity (ICA100 edge 208),0
13198,rfMRI connectivity (ICA100 edge 209),0
13199,rfMRI connectivity (ICA100 edge 210),0
13200,rfMRI connectivity (ICA100 edge 211),0
13201,rfMRI connectivity (ICA100 edge 212),0
13202,rfMRI connectivity (ICA100 edge 213),0
13203,rfMRI connectivity (ICA100 edge 214),0
13204,rfMRI connectivity (ICA100 edge 215),0
13205,rfMRI connectivity (ICA100 edge 216),0
13206,rfMRI connectivity (ICA100 edge 217),0
13207,rfMRI connectivity (ICA100 edge 218),0
13208,rfMRI connectivity (ICA100 edge 219),0
13209,rfMRI connectivity (ICA100 edge 220),0
13210,rfMRI connectivity (ICA100 edge 221),0
13211,IDP T1 FAST ROIs L cing gyrus ant,0
13212,IDP T1 FAST ROIs R cing gyrus ant,0
13213,IDP T1 FAST ROIs L cing gyrus post,0
13214,IDP T1 FAST ROIs R cing gyrus post,0
13215,IDP T1 FAST ROIs L precun cortex,0
13216,IDP T1 FAST ROIs R precun cortex,0
13217,IDP T1 FAST ROIs L cuneal cortex,0
13218,IDP T1 FAST ROIs R cuneal cortex,0
13219,IDP T1 FAST ROIs L front orb cortex,0
13220,IDP T1 FAST ROIs R front orb cortex,0
13221,IDP T1 FAST ROIs L parahipp gyrus ant,0
13222,IDP T1 FAST ROIs R parahipp gyrus ant,0
13223,IDP T1 FAST ROIs L parahipp gyrus post,0
13224,IDP T1 FAST ROIs R parahipp gyrus post,0
13225,IDP T1 FAST ROIs L lingual gyrus,0
13226,IDP T1 FAST ROIs R lingual gyrus,0
13227,IDP T1 FAST ROIs L temp fusif cortex ant,0
13228,IDP T1 FAST ROIs R temp fusif cortex ant,0
13229,IDP T1 FAST ROIs L temp fusif cortex post,0
13230,IDP T1 FAST ROIs R temp fusif cortex post,0
13231,IDP T1 FAST ROIs L temp occ fusif cortex,0
13232,IDP T1 FAST ROIs R temp occ fusif cortex,0
13233,IDP T1 FAST ROIs L occ fusif gyrus,0
13234,IDP T1 FAST ROIs R occ fusif gyrus,0
13235,IDP T1 FAST ROIs L front operc cortex,0
13236,HLA DR++ monocyte %leukocyte,0
13237,HLA DR++ monocyte Absolute Count,0
13238,T/B cell,0
13239,CD4+/CD8+ T cell,0
13240,CD4+ T cell Absolute Count,0
13241,CD4+ T cell %T cell,0
13242,CD8+ T cell Absolute Count,0
13243,CD8+ T cell %T cell,0
13244,CD4+CD8+ T cell Absolute Count,0
13245,CD4+CD8+ T cell %T cell,0
13246,CD8dim T cell Absolute Count,0
13247,CD8dim T cell %T cell,0
13248,CD4-CD8- T cell Absolute Count,0
13249,CD4-CD8- T cell %T cell,0
13250,Leukocyte Absolute Count,0
13251,Lymphocyte Absolute Count,0
13252,Lymphocyte %leukocyte,0
13253,T cell Absolute Count,0
13254,T cell %lymphocyte,0
13255,T cell %leukocyte,0
13256,CD4+ T cell %leukocyte,0
13257,CD8+ T cell %leukocyte,0
13258,CD4+CD8+ T cell %leukocyte,0
13259,CD4+ CD8dim T cell Absolute Count,0
13260,CD4+ CD8dim T cell %lymphocyte,0
13261,CD4+ CD8dim T cell %leukocyte,0
13262,CD8dim T cell %leukocyte,0
13263,CD4-CD8- T cell %leukocyte,0
13264,CD8+ and CD8dim T cell %leukocyte,0
13265,TCRgd T cell Absolute Count,0
13266,TCRgd T cell %T cell,0
13267,TCRgd T cell %lymphocyte,0
13268,HLA DR+ T cell Absolute Count,0
13269,HLA DR+ T cell%T cell,0
13270,HLA DR+ T cell%lymphocyte,0
13271,Natural Killer T Absolute Count,0
13272,Natural Killer T %T cell,0
13273,Natural Killer T %lymphocyte,0
13274,HLA DR+ CD4+ T cell Absolute Count,0
13275,HLA DR+ CD4+ T cell %T cell,0
13276,HLA DR+ CD4+ T cell %lymphocyte,0
13277,HLA DR+ CD8+ T cell Absolute Count,0
13278,HLA DR+ CD8+ T cell %T cell,0
13279,HLA DR+ CD8+ T cell %lymphocyte,0
13280,CD8+ Natural Killer T Absolute Count,0
